 Year  Annual_Mean 5-year_Mean
 1880     -0.19         NA
 1881     -0.10         NA
 1882     -0.08     -0.16
 1883     -0.19     -0.19
 1884     -0.26     -0.22
 1885     -0.30     -0.27
 1886     -0.29     -0.27
 1887     -0.32     -0.24
 1888     -0.19     -0.25
 1889     -0.10     -0.24
 1890     -0.35     -0.22
 1891     -0.23     -0.24
 1892     -0.25     -0.28
 1893     -0.28     -0.25
 1894     -0.29     -0.23
 1895     -0.20     -0.20
 1896     -0.14     -0.20
 1897     -0.10     -0.17
 1898     -0.27     -0.15
 1899     -0.15     -0.15
 1900     -0.08     -0.18
 1901     -0.14     -0.20
 1902     -0.27     -0.25
 1903     -0.35     -0.29
 1904     -0.43     -0.31
 1905     -0.27     -0.33
 1906     -0.21     -0.35
 1907     -0.39     -0.35
 1908     -0.42     -0.38
 1909     -0.46     -0.43
 1910     -0.42     -0.42
 1911     -0.44     -0.40
 1912     -0.34     -0.34
 1913     -0.33     -0.27
 1914     -0.15     -0.25
 1915     -0.10     -0.26
 1916     -0.33     -0.24
 1917     -0.39     -0.26
 1918     -0.25     -0.29
 1919     -0.22     -0.26
 1920     -0.25     -0.24
 1921     -0.20     -0.23
 1922     -0.26     -0.24
 1923     -0.23     -0.23
 1924     -0.27     -0.21
 1925     -0.19     -0.19
 1926     -0.09     -0.19
 1927     -0.20     -0.20
 1928     -0.21     -0.19
 1929     -0.35     -0.19
 1930     -0.13     -0.18
 1931     -0.08     -0.20
 1932     -0.15     -0.15
 1933     -0.27     -0.16
 1934     -0.12     -0.17
 1935     -0.18     -0.14
 1936     -0.14     -0.09
 1937     -0.01     -0.07
 1938     -0.01     -0.02
 1939     -0.02      0.04
 1940      0.09      0.06
 1941      0.13      0.09
 1942      0.10      0.15
 1943      0.14      0.15
 1944      0.26      0.12
 1945      0.13      0.09
 1946     -0.03      0.05
 1947     -0.04     -0.02
 1948     -0.09     -0.08
 1949     -0.09     -0.09
 1950     -0.18     -0.08
 1951     -0.07     -0.05
 1952      0.01     -0.05
 1953      0.08     -0.05
 1954     -0.12     -0.07
 1955     -0.14     -0.07
 1956     -0.19     -0.07
 1957      0.04     -0.04
 1958      0.06     -0.02
 1959      0.03      0.03
 1960     -0.03      0.03
 1961      0.05      0.03
 1962      0.02     -0.02
 1963      0.06     -0.04
 1964     -0.21     -0.06
 1965     -0.10     -0.07
 1966     -0.05     -0.09
 1967     -0.03     -0.04
 1968     -0.07     -0.01
 1969      0.06     -0.02
 1970      0.03     -0.01
 1971     -0.09      0.03
 1972      0.01      0.00
 1973      0.15     -0.00
 1974     -0.08     -0.01
 1975     -0.01      0.03
 1976     -0.11      0.01
 1977      0.18      0.06
 1978      0.07      0.12
 1979      0.17      0.20
 1980      0.28      0.19
 1981      0.33      0.24
 1982      0.13      0.24
 1983      0.31      0.21
 1984      0.16      0.18
 1985      0.12      0.22
 1986      0.19      0.24
 1987      0.34      0.27
 1988      0.40      0.33
 1989      0.29      0.38
 1990      0.44      0.35
 1991      0.42      0.32
 1992      0.23      0.33
 1993      0.24      0.33
 1994      0.32      0.32
 1995      0.46      0.37
 1996      0.34      0.44
 1997      0.47      0.47
 1998      0.63      0.46
 1999      0.42      0.50
 2000      0.42      0.53
 2001      0.54      0.53
 2002      0.63      0.55
 2003      0.62      0.60
 2004      0.54      0.62
 2005      0.69      0.63
 2006      0.63      0.61
 2007      0.66      0.63
 2008      0.53      0.64
 2009      0.64      0.63
 2010      0.72      0.62
 2011      0.60      0.65
 2012      0.63      0.67
 2013      0.65      0.70
 2014      0.74         NA
 2015      0.87         NA
